dt_referencia;no_produto;no_indicador;vr_real
"2010-02-02";"suíno";"Suíno em pé tipo carne não integrado kg";0.0
"2010-02-02";"vaca";"Vaca em pé (padrão corte) arroba";0.0
"2010-02-02";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";0.0
"2010-02-02";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-02-03";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-02-03";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.82
"2010-02-03";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.75
"2010-02-03";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";55.44
"2010-02-03";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";55.89
"2010-02-03";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.76
"2010-02-03";"soja";"Soja industrial tipo 1 sc 60 Kg";34.64
"2010-02-03";"trigo";"Trigo pão PH 78 sc 60 Kg";23.78
"2010-02-03";"boi";"Boi em pé arroba";72.66
"2010-02-03";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.62
"2010-02-03";"erva-mate";"Erva-mate folha em barranco arroba";6.17
"2010-02-03";"suíno";"Suíno em pé tipo carne não integrado kg";1.97
"2010-02-03";"vaca";"Vaca em pé (padrão corte) arroba";66.08
"2010-02-03";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";221.1
"2010-02-03";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-02-04";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-02-04";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";31.94
"2010-02-04";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";37.91
"2010-02-04";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";164.4
